method,kernel,metric,0.1,1.0,5.0,10.0,16.0
meanflow_nfe1,3km,csi,0.561716,0.370513,0.110986,0.014823,0.005296
meanflow_nfe1,3km,far,0.346759,0.476180,0.643245,0.843750,0.000000
meanflow_nfe1,3km,pod,0.800365,0.558688,0.138752,0.016113,0.005296
meanflow_nfe1,3km,hss,0.610086,0.486313,0.192239,0.028398,0.010525
meanflow_nfe1,3km,fss,0.719357,0.540693,0.199797,0.029213,0.010535
meanflow_nfe1,15km,csi,0.666756,0.461303,0.161621,0.045602,0.009087
meanflow_nfe1,15km,far,0.202570,0.321859,0.369929,0.564655,0.000000
meanflow_nfe1,15km,pod,0.802716,0.590615,0.178566,0.048469,0.009087
meanflow_nfe1,15km,hss,0.659449,0.543483,0.261045,0.083420,0.017872
meanflow_nfe1,15km,fss,0.803910,0.651646,0.286021,0.040441,0.009867
meanflow_nfe1,27km,csi,0.718700,0.523075,0.192176,0.074691,0.011190
meanflow_nfe1,27km,far,0.156688,0.239337,0.251651,0.371261,0.000000
meanflow_nfe1,27km,pod,0.829462,0.626123,0.205453,0.078137,0.011190
meanflow_nfe1,27km,hss,0.674389,0.578351,0.295458,0.131387,0.021744
meanflow_nfe1,27km,fss,0.836980,0.701503,0.336656,0.051695,0.008198
meanflow_nfe1,45km,csi,0.760961,0.598439,0.230979,0.116327,0.014607
meanflow_nfe1,45km,far,0.127544,0.162645,0.154607,0.229638,0.000000
meanflow_nfe1,45km,pod,0.856210,0.677150,0.241167,0.120505,0.014607
meanflow_nfe1,45km,hss,0.656996,0.617528,0.332122,0.192613,0.027716
meanflow_nfe1,45km,fss,0.867135,0.749871,0.411470,0.071446,0.006575
meanflow_nfe2,3km,csi,0.568806,0.355888,0.113599,0.018133,0.014122
meanflow_nfe2,3km,far,0.331710,0.466014,0.598443,0.699681,0.000000
meanflow_nfe2,3km,pod,0.792573,0.516218,0.136750,0.018933,0.014122
meanflow_nfe2,3km,hss,0.620293,0.471686,0.197205,0.035106,0.027823
meanflow_nfe2,3km,fss,0.725145,0.524952,0.204021,0.035620,0.027850
meanflow_nfe2,15km,csi,0.679885,0.422484,0.161978,0.046299,0.017474
meanflow_nfe2,15km,far,0.187954,0.320287,0.317948,0.455353,0.000000
meanflow_nfe2,15km,pod,0.806856,0.527498,0.175208,0.048163,0.017474
meanflow_nfe2,15km,hss,0.676897,0.504474,0.262896,0.085420,0.034091
meanflow_nfe2,15km,fss,0.809678,0.627639,0.293946,0.036588,0.024184
meanflow_nfe2,27km,csi,0.726788,0.476453,0.184598,0.071034,0.018146
meanflow_nfe2,27km,far,0.149410,0.235131,0.226423,0.309508,0.000000
meanflow_nfe2,27km,pod,0.833151,0.558214,0.195142,0.073370,0.018146
meanflow_nfe2,27km,hss,0.685883,0.533120,0.286139,0.125989,0.035028
meanflow_nfe2,27km,fss,0.839936,0.671267,0.345838,0.034077,0.021016
meanflow_nfe2,45km,csi,0.763486,0.546881,0.215022,0.107694,0.020431
meanflow_nfe2,45km,far,0.127843,0.148890,0.152457,0.194260,0.000000
meanflow_nfe2,45km,pod,0.859698,0.604736,0.223674,0.110565,0.020431
meanflow_nfe2,45km,hss,0.659949,0.569978,0.312125,0.180139,0.038562
meanflow_nfe2,45km,fss,0.867677,0.713741,0.423415,0.033445,0.017115
